Player Name,Category,Country, Base Price 
Jos Buttler,Wicket-keeper, England,20000000
Shreyas Iyer,Batsman, India,20000000
Rishabh Pant,Batsman, India,20000000
Kagiso Rabada,Fast Bowler, South Africa,20000000
Arshdeep Singh,Fast Bowler, India,20000000
Mitchell Starc,Fast Bowler, Australia,20000000
Yuzvendra Chahal,Spin Bowler, India,20000000
Liam Livingstone,All-rounder, England,20000000
David Miller,Batsman, South Africa,15000000
KL Rahul,Wicket-keeper, India,20000000
Mohammed Shami,Fast Bowler, India,20000000
Mohammed Siraj,Fast Bowler, India,20000000
Harry Brook,Batsman, England,20000000
Devon Conway,Batsman, New Zealand,20000000
Jake Fraser-McGurk,Batsman, Australia,20000000
Aiden Markram,Batsman, South Africa,20000000
Devdutt Padikkal,Batsman, India,20000000
Rahul Tripathi,Batsman, India,7500000
Ravichandran Ashwin,All-rounder, India,20000000
Venkatesh Iyer,All-rounder, India,20000000
Mitchell Marsh,All-rounder, Australia,20000000
Glenn Maxwell,All-rounder, Australia,20000000
Harshal Patel,All-rounder, India,20000000
Rachin Ravindra †,All-rounder, New Zealand,15000000
Marcus Stoinis,All-rounder, Australia,20000000
Quinton de Kock,Wicket-keeper, South Africa,20000000
Rahmanullah Gurbaz,Wicket-keeper, Afghanistan,20000000
Ishan Kishan,Wicket-keeper, India,20000000
Phil Salt,Wicket-keeper, England,20000000
Jitesh Sharma,Wicket-keeper, India,10000000
Khaleel Ahmed,Fast Bowler, India,20000000
Jofra Archer,Fast Bowler, England,20000000
Trent Boult,Fast Bowler, New Zealand,20000000
Josh Hazlewood,Fast Bowler, Australia,20000000
Avesh Khan,Fast Bowler, India,20000000
Prasidh Krishna,Fast Bowler, India,20000000
T. Natarajan,Fast Bowler, India,20000000
Anrich Nortje,Fast Bowler, South Africa,20000000
Noor Ahmad,Spin Bowler, Afghanistan,20000000
Rahul Chahar,Spin Bowler, India,10000000
Wanindu Hasaranga,Spin Bowler, Sri Lanka,20000000
Maheesh Theekshana,Spin Bowler, Sri Lanka,20000000
Adam Zampa,Spin Bowler, Australia,20000000
Abhinav Manohar,Batsman, India,3000000
Karun Nair,Batsman, India,3000000
Angkrish Raghuvanshi,Batsman, India,3000000
Atharva Taide,Batsman, India,3000000
Nehal Wadhera,Batsman, India,3000000
Harpreet Brar,All-rounder, India,3000000
Naman Dhir †,All-rounder, India,3000000
Mahipal Lomror,All-rounder, India,3000000
Sameer Rizvi,All-rounder, India,3000000
Abdul Samad,All-rounder, India,3000000
Vijay Shankar,All-rounder, India,3000000
Ashutosh Sharma,All-rounder, India,3000000
Nishant Sindhu,All-rounder, India,3000000
Aryan Juyal,Wicket-keeper, India,3000000
Kumar Kushagra,Wicket-keeper, India,3000000
Robin Minz,Wicket-keeper, India,3000000
Anuj Rawat,Wicket-keeper, India,3000000
Luvnith Sisodia,Wicket-keeper, India,3000000
Vishnu Vinod,Wicket-keeper, India,3000000
Vaibhav Arora,Fast Bowler, India,3000000
Rasikh Salam Dar,Fast Bowler, India,3000000
Akash Madhwal,Fast Bowler, India,3000000
Mohit Sharma,Fast Bowler, India,5000000
Simarjeet Singh,Fast Bowler, India,3000000
Yash Thakur,Fast Bowler, India,3000000
Vijaykumar Vyshak,Fast Bowler, India,3000000
Shreyas Gopal,Spin Bowler, India,3000000
Mayank Markande,Spin Bowler, India,3000000
Suyash Sharma,Spin Bowler, India,3000000
Karn Sharma,Spin Bowler, India,5000000
Kumar Kartikeya,Spin Bowler, India,3000000
Manav Suthar,Spin Bowler, India,3000000
Faf du Plessis,Batsman, South Africa,20000000
Glenn Phillips,Batsman, New Zealand,20000000
Rovman Powell,Batsman, West Indies,15000000
Ajinkya Rahane,Batsman, India,15000000
Sam Curran,All-rounder, England,20000000
Marco Jansen,All-rounder, South Africa,12500000
Krunal Pandya,All-rounder, India,20000000
Nitish Rana,All-rounder, India,15000000
Washington Sundar,All-rounder, India,20000000
Donovan Ferreira,Wicket-keeper, South Africa,7500000
Josh Inglis,Wicket-keeper, Australia,20000000
Ryan Rickelton,Wicket-keeper, South Africa,10000000
Deepak Chahar,Fast Bowler, India,20000000
Gerald Coetzee,Fast Bowler, South Africa,12500000
Akash Deep,Fast Bowler, India,10000000
Tushar Deshpande,Fast Bowler, India,10000000
Lockie Ferguson,Fast Bowler, New Zealand,20000000
Bhuvneshwar Kumar,Fast Bowler, India,20000000
Mukesh Kumar †,Fast Bowler, India,20000000
Allah Ghazanfar,Spin Bowler, Afghanistan,7500000
Swastik Chikara,Batsman, India,3000000
Shubham Dubey,Batsman, India,3000000
Shaik Rasheed,Batsman, India,3000000
Himmat Singh,Batsman, India,3000000
Anshul Kamboj,All-rounder, India,3000000
Arshad Khan,All-rounder, India,3000000
Darshan Nalkande,All-rounder, India,3000000
Anukul Roy,All-rounder, India,3000000
Swapnil Singh †,All-rounder, India,3000000
Vansh Bedi,Wicket-keeper, India,3000000
Kunal Rathore,Wicket-keeper, India,3000000
Gurnoor Brar,Fast Bowler, India,3000000
Mukesh Choudhary,Fast Bowler, India,3000000
Arjun Tendulkar,Fast Bowler, India,3000000
Zeeshan Ansari,Spin Bowler, India,3000000
Manimaran Siddharth,Spin Bowler, India,3000000
Digvesh Singh Rathi,Spin Bowler, India,3000000
Manish Pandey,Batsman, India,7500000
Sherfane Rutherford,Batsman, West Indies,15000000
Shahbaz Ahmed,All-rounder, India,10000000
Tim David,All-rounder, Australia,20000000
Deepak Hooda,All-rounder, India,7500000
Will Jacks,All-rounder, England,20000000
Azmatullah Omarzai,All-rounder, Afghanistan,15000000
Sai Kishore †,All-rounder, India,7500000
Romario Shepherd,All-rounder, West Indies,15000000
Spencer Johnson,Fast Bowler, Australia,20000000
Umran Malik,Fast Bowler, India,7500000
Ishant Sharma,Fast Bowler, India,7500000
Nuwan Thushara,Fast Bowler, Sri Lanka,7500000
Jaydev Unadkat,Fast Bowler, India,10000000
Sachin Baby,Batsman, India,3000000
Harnoor Singh,Batsman, India,3000000
Andre Siddarth,Batsman, India,3000000
Yudhvir Singh,All-rounder, India,3000000
Rajvardhan Hangargekar,All-rounder, India,3000000
Arshin Kulkarni,All-rounder, India,3000000
Ashwani Kumar,Fast Bowler, India,3000000
Akash Singh,Fast Bowler, India,3000000
Gurjapneet Singh,Fast Bowler, India,3000000
Matthew Breetzke,Batsman, South Africa,3000000
Mitchell Santner,All-rounder, New Zealand,20000000
Jayant Yadav,All-rounder, India,7500000
Fazalhaq Farooqi,Fast Bowler, Afghanistan,20000000
Kwena Maphaka,Fast Bowler, South Africa,7500000
Kuldeep Sen,Fast Bowler, India,7500000
Reece Topley,Fast Bowler, England,7500000
Lizaad Williams,Fast Bowler, South Africa,7500000
Priyansh Arya,All-rounder, India,3000000
Manoj Bhandage,All-rounder, India,3000000
Praveen Dubey,All-rounder, India,3000000
Ajay Mandal,All-rounder, India,3000000
Vipraj Nigam,All-rounder, India,3000000
Krishnan Shrijith,All-rounder, India,3000000
Jacob Bethell,All-rounder, England,12500000
Brydon Carse,All-rounder, England,10000000
Aaron Hardie,All-rounder, Australia,12500000
Kamindu Mendis,All-rounder, Sri Lanka,7500000
Dushmantha Chameera,Fast Bowler, Sri Lanka,7500000
Nathan Ellis,Fast Bowler, Australia,10000000
Shamar Joseph,Fast Bowler, West Indies,7500000
Aniket Verma,Batsman, India,3000000
Raj Angad Bawa,All-rounder, India,3000000
Musheer Khan,All-rounder, India,3000000
{{Manvanth Kumar L,All-rounder, India,3000000
Suryansh Shedge,All-rounder, India,3000000
Kulwant Khejroliya,Fast Bowler, India,3000000
Prince Yadav,All-rounder, India,3000000
Jamie Overton,All-rounder, England,15000000
Xavier Bartlett,Fast Bowler, Australia,7500000
Lungi Ngidi,Fast Bowler, South Africa,3000000
Yuvraj Chaudhary,All-rounder, India,3000000
Kamlesh Nagarkoti,All-rounder, India,3000000
Karim Janat,All-rounder, Afghanistan,3000000
Pyla Avinash,Batsman, India,3000000
Ramakrishna Ghosh,All-rounder, India,3000000
Bevon Jacobs,Batsman, New Zealand,3000000
Vaibhav Sooryavanshi,Batsman, India,3000000
Eshan Malinga,Fast Bowler, Sri Lanka,3000000
